,Entity,Iteration,Probability,Relation,Value
0,concept:company:limited_brands,1115,0.9375,concept:companyceo,concept:ceo:leslie_wexner
1,concept:biotechcompany:intuit,1114,0.99951171875,concept:acquired,concept:company:mint
2,concept:biotechcompany:intuit,1115,1.0,concept:companyceo,concept:ceo:stephen_bennett
3,concept:biotechcompany:lightbridge_inc_,1107,0.9375,concept:companyalsoknownas,concept:company:lightbridge
4,concept:company:american_family_insurance,1114,0.96875,concept:companyeconomicsector,concept:economicsector:insurance
5,concept:biotechcompany:mastercard_international,1114,0.9375,concept:companyalsoknownas,concept:bank:mastercard
6,concept:retailstore:costco_wholesale_corp,1115,1.0,concept:companyalsoknownas,concept:company:cost
7,concept:retailstore:fedex_corp,1114,1.0,concept:companyalsoknownas,concept:company:fdx
8,concept:company:vocus,1103,0.9375,concept:acquired,concept:company:prweb
9,concept:company:hasbro,1108,0.9375,concept:acquired,concept:radiostation:wotc
10,concept:company:hasbro,1108,0.984375,concept:acquired,concept:company:tiger_electronics
11,concept:biotechcompany:altria_group,1115,1.0,concept:acquired,concept:company:kraft_foods
12,concept:biotechcompany:altria_group,1115,0.9375,concept:companyceo,concept:ceo:michael_e__szymanczyk
13,concept:company:clorox_co,1115,0.9375,concept:companyeconomicsector,concept:economicsector:consumer_products
14,concept:biotechcompany:nec_corp,1114,0.9375,concept:companyalsoknownas,concept:company:fujitsu
15,concept:biotechcompany:nec_corp,1114,0.9375,concept:companyalsoknownas,concept:company:samsung
16,concept:biotechcompany:nec_corp,1115,0.9375,concept:companyalsoknownas,concept:company:lg_electronics_inc
17,concept:biotechcompany:nec_corp,1114,0.9921875,concept:companyeconomicsector,concept:economicsector:electronics
18,concept:biotechcompany:sharp_corporation,1115,0.99609375,concept:companyalsoknownas,concept:biotechcompany:sony_corp
19,concept:biotechcompany:sharp_corporation,1114,0.9375,concept:companyalsoknownas,concept:company:samsung
20,concept:biotechcompany:sharp_corporation,1115,0.9375,concept:companyalsoknownas,concept:company:lg_electronics_inc
21,concept:biotechcompany:sharp_corporation,1114,0.9913765314072722,concept:companyeconomicsector,concept:economicsector:electronics
22,concept:company:sap_ag,1114,1.0,concept:acquired,concept:company:business_objects_sa
23,concept:company:sap_ag,1114,0.9990234375,concept:acquired,concept:company:sybase
24,concept:company:sap_ag,1102,0.9375,concept:companyalsoknownas,concept:company:sap_r_3
25,concept:company:sap_ag,1115,0.9375,concept:companyalsoknownas,concept:company:hp
26,concept:company:sap_ag,1115,0.984375,concept:companyceo,concept:ceo:hasso_plattner
27,concept:company:mci,1114,1.0,concept:companyeconomicsector,concept:economicsector:telecommunications
28,concept:biotechcompany:bupa,1109,0.9375,concept:companyeconomicsector,concept:economicsector:health_insurance
29,concept:biotechcompany:bupa,1109,0.9375,concept:companyeconomicsector,concept:academicfield:health
30,concept:hotel:hilton_hotels,1115,1.0,concept:companyceo,concept:ceo:stephen_bollenbach
31,concept:retailstore:adidas,1114,0.9997321621001023,concept:acquired,concept:company:reebok
32,concept:retailstore:adidas,1114,0.96875,concept:companyeconomicsector,concept:economicsector:apparel
33,concept:retailstore:adidas,1114,0.9375,concept:companyeconomicsector,concept:economicsector:sports
34,concept:company:hcl_technologies,1115,0.984375,concept:companyceo,concept:ceo:vineet_nayar
35,concept:retailstore:samsonite,1113,0.9375,concept:acquired,concept:biotechcompany:american_tourister
36,concept:company:analog_devices,1114,0.9375,concept:companyalsoknownas,concept:recordlabel:pulsar
37,concept:company:dominion_resources,1115,1.0,concept:companyceo,concept:ceo:thomas_f__farrell_ii
38,concept:company:goodyear,1114,1.0,concept:companyalsoknownas,concept:automobilemaker:gt
39,concept:biotechcompany:sbc,1114,0.96875,concept:acquired,concept:company:ameritech
40,concept:biotechcompany:sbc,1114,1.0,concept:acquired,concept:company:at_t
41,concept:company:wmt,1115,1.0,concept:companyalsoknownas,concept:retailstore:wal_mart_stores
42,concept:company:blue_cross_blue_shield,1114,0.984375,concept:companyeconomicsector,concept:economicsector:health_insurance
43,concept:company:blue_cross_blue_shield,1114,0.96875,concept:companyeconomicsector,concept:academicfield:health
44,concept:company:blue_cross_blue_shield,1114,1.0,concept:companyeconomicsector,concept:economicsector:insurance
45,concept:biotechcompany:general_electric,1115,0.99609375,concept:acquired,concept:recordlabel:rca
46,concept:biotechcompany:general_electric,1114,1.0,concept:companyalsoknownas,concept:company:ge
47,concept:biotechcompany:general_electric,1115,1.0,concept:companyceo,concept:ceo:jeffrey_immelt
48,concept:biotechcompany:cigna,1114,1.0,concept:companyalsoknownas,concept:bank:ci
49,concept:biotechcompany:research_in_motion_ltd,1109,1.0,concept:companyalsoknownas,concept:company:rimm
50,concept:biotechcompany:roche,1111,0.9375,concept:acquired,concept:biotechcompany:syntex
51,concept:biotechcompany:roche,1114,0.99993896484375,concept:acquired,concept:biotechcompany:genentech
52,concept:biotechcompany:logitech,1114,0.984375,concept:acquired,concept:company:ultimate_ears
53,concept:biotechcompany:vul,1096,0.9375,concept:companyeconomicsector,concept:economicsector:insurance
54,concept:biotechcompany:interdigital,1111,0.9375,concept:companyalsoknownas,concept:company:interdigital_communications_corporation
55,concept:biotechcompany:garmin_ltd,1115,0.9375,concept:companyalsoknownas,concept:company:garmin_corporation
56,concept:company:netflix,1115,0.9999847412109375,concept:companyceo,concept:ceo:reed_hastings
57,concept:company:general_mills001,1108,0.96875,concept:acquired,concept:biotechcompany:pillsbury
58,concept:company:general_mills001,1110,0.9375,concept:companyalsoknownas,concept:magazine:betty_crocker
59,concept:company:general_mills001,1115,0.96875,concept:companyceo,concept:ceo:ken_powell
60,concept:biotechcompany:simon_property,1115,0.9375,concept:companyceo,concept:ceo:david_simon
61,concept:biotechcompany:eisai_co_,1102,0.9375,concept:companyalsoknownas,concept:biotechcompany:aricept
62,concept:company:chrome,1103,0.99951171875,concept:companyeconomicsector,concept:economicsector:internet
63,concept:company:novell,1114,0.96875,concept:acquired,concept:company:suse_
64,concept:company:novell,1114,0.9999998749160448,concept:acquired,concept:biotechcompany:suse
65,concept:company:novell,1115,0.9986833630808907,concept:companyceo,concept:ceo:jack_messman
66,concept:company:ask_jeeves,1114,0.984375,concept:acquired,concept:company:bloglines
