,Entity,Iteration,Probability,Relation,Value
0,concept:sportsteam:george_washington_university_s_elliott_school,1070,0.9921875,concept:teamplaysinleague,concept:sportsleague:international
1,concept:sportsteam:columbus_bluejackets,1070,0.9999995414838423,concept:teamplaysinleague,concept:sportsleague:nhl
2,concept:athlete:player,1070,0.9375,concept:athleteplayssport,concept:sport:golfing
3,concept:sportsteam:bowling_green_state,1070,0.9998779296875,concept:teamalsoknownas,concept:sportsteam:state_university
4,concept:sportsteam:hong_kong_polytechnic,1070,0.9375,concept:teamalsoknownas,concept:sportsteam:state_university
5,concept:athlete:delonte_west,1070,1.0,concept:athleteledsportsteam,concept:sportsteam:cavaliers
6,concept:athlete:delonte_west,1070,1.0,concept:athleteplaysforteam,concept:sportsteam:cavs
7,concept:athlete:delonte_west,1070,1.0,concept:athleteplaysinleague,concept:sportsleague:nba
8,concept:athlete:chris_byrd,1070,1.0,concept:athleteplayssport,concept:sport:boxing
9,concept:coach:derek_fisher,1070,0.9961152069936985,concept:athleteledsportsteam,concept:sportsteam:los_angeles_lakers
10,concept:coach:derek_fisher,1070,0.9998488425225504,concept:athleteplaysforteam,concept:sportsteam:los_angeles_lakers
11,concept:coach:derek_fisher,1070,1.0,concept:athleteplaysinleague,concept:sportsleague:nba
12,concept:athlete:darrent_williams,1070,0.9921875,concept:athleteplaysforteam,concept:sportsteam:broncos
13,concept:athlete:aaron,1070,0.9257327536003068,concept:athleteplayssport,concept:sport:baseball
14,concept:sportsteam:ny_islanders,1070,0.9999999991114061,concept:teamplaysinleague,concept:sportsleague:nhl
15,concept:athlete:joe_haden,1070,0.96875,concept:athleteplaysforteam,concept:sportsteam:cleveland_browns
16,concept:person:scottie_pippen,1070,0.98775,concept:athleteplaysinleague,concept:sportsleague:nba
17,concept:person:scottie_pippen,1070,0.948,concept:athleteplayssport,concept:sport:basketball
18,concept:athlete:pat_williams,1070,0.96875,concept:athleteplaysforteam,concept:sportsteam:minnesota_vikings
