workedunder(ahughkeaysbyrne,asheilapaterson).
workedunder(asharonstone,abruceayoung).
workedunder(achelcieross,abenjohnson).
workedunder(astancollymore,ajaimzwoolvett).
workedunder(averhoevenpauli,aindiravarma).
workedunder(amillergeorgei,afloramontgomery).
workedunder(ageorgedzundza,amarccaleb).
workedunder(astevekuhn,ajustinmonjo).
workedunder(astancollymore,ajurneesmollett).
workedunder(afrankcturner,asharonstone).
workedunder(abenjohnson,astancollymore).
workedunder(adenisarndt,abenjohnson).
workedunder(abillcable,aalancpeterson).
workedunder(arobyndouglass,achelcieross).
workedunder(abenjohnson,ajanchappell).
workedunder(ajeannetripplehorn,amarksangster).
workedunder(aindiravarma,ajustinmonjo).
workedunder(adannflorek,abillcable).
workedunder(adavidarnett,ajurneesmollett).
workedunder(aindiravarma,afloramontgomery).
workedunder(achelcieross,acatonjonesmichael).
workedunder(acaitlinoheaney,amiguelferrer).
workedunder(adorothymalone,ajanchappell).
workedunder(agusmercurio,astephentobolowsky).
workedunder(adorothymalone,adanielvonbargen).
workedunder(asharonstone,aginachiarelli).
workedunder(amarksangster,arobyndouglass).
workedunder(afloramontgomery,adebraengle).
workedunder(ajeannetripplehorn,acharlotterampling).
workedunder(ajeannetripplehorn,adavidthewlis).
workedunder(adanielvonbargen,aindiravarma).
workedunder(adavidthewlis,abruceayoung).
workedunder(asheilapaterson,achelcieross).
workedunder(adavidmorrissey,afrankcturner).
workedunder(ajustinmonjo,agilbellows).
workedunder(afrankcturner,atimberrington).
workedunder(averhoevenpauli,adavidthewlis).
workedunder(astephentobolowsky,ajanchappell).
workedunder(ajaimzwoolvett,ajanchappell).
workedunder(abenjohnson,acaitlinoheaney).
workedunder(ametcalfestephen,ajaimzwoolvett).
workedunder(amichaeldouglas,adanielvonbargen).
workedunder(aheathcotewilliams,astancollymore).
workedunder(afrankcturner,arobyndouglass).
workedunder(acaitlinoheaney,amarccaleb).
workedunder(ametcalfestephen,aconnorwiddows).
workedunder(achelcieross,agilbellows).
workedunder(astevekuhn,adenisarndt).
workedunder(abenjohnson,agusmercurio).
workedunder(ajurneesmollett,aianholm).
workedunder(agusmercurio,ajurneesmollett).
workedunder(afrankcturner,alewissmith).
workedunder(aalancpeterson,amillergeorgei).
workedunder(ajaimzwoolvett,astancollymore).
workedunder(agusmercurio,alloydalan).
workedunder(ametcalfestephen,asharonstone).
workedunder(aleilanisarelle,abenjaminmouton).
workedunder(adanielvonbargen,ajanchappell).
