companyceo(limitedbrands,lesliewexner).
companyceo(intuit,stephenbennett).
companyceo(altriagroup,michaeleszymanczyk).
companyceo(sapag,hassoplattner).
companyceo(hiltonhotels,stephenbollenbach).
companyceo(hcltechnologies,vineetnayar).
companyceo(dominionresources,thomasffarrellii).
companyceo(generalelectric,jeffreyimmelt).
companyceo(netflix,reedhastings).
companyceo(generalmills,kenpowell).
companyceo(simonproperty,davidsimon).
companyceo(novell,jackmessman).
companyceo(computerassociatesinternational,charleswang).
companyceo(amazoncom,jeffbezos).
companyceo(cvscaremark,thomasmryan).
companyceo(cbscorporation,lesliemoonves).
companyceo(hewlettpackardco,carlyfiorina).
companyceo(biocon,kiranmazumdarshaw).
companyceo(novartis,danielvasella).
companyceo(cisco,johntchambers).
companyceo(napster,shawnfanning).
companyceo(earthlink,skydayton).
companyceo(reynoldsamerican,susanmivey).
companyceo(eastmankodakcompany,antoniomperez).
companyceo(salesforcecom,marcbenioff).
companyceo(motorola,edwardjzander).
companyceo(morganstanley,jamespgorman).
companyceo(targetcorporation,greggsteinhafel).
companyceo(xerox,ursulaburns).
companyceo(caviumnetworks,syedbali).
companyceo(chevron,johnwatson).
companyceo(schlumbergerlimited,andrewgould).
companyceo(cypresssemiconductor,tjrodgers).
companyceo(constellationenergygroup,mayoashattuckiii).
companyceo(sprint,garyforsee).
companyceo(autodeskinc,carolabartz).
companyceo(microsoft,williamgatesiii).
companyceo(bayer,wernerwenning).
companyceo(valeroenergy,williamrklesse).
companyceo(netsuite,zachnelson).
companyceo(ibm,samueljpalmisano).
companyceo(nm,georgewbuckley).
companyceo(merrilllynch,stanoneal).
companyceo(att,randalllstephenson).
companyceo(unitedparcelservice,dscottdavis).
companyceo(siemens,peterlscher).
companyceo(pnc,jameserohr).
companyceo(amr,gerardarpey).
companyceo(boeing,philcondit).
companyceo(verizoncommunications,lowellmcadam).
companyceo(walgreenco,gregorywasson).
companyceo(anadarkopetroleum,jameshackett).
companyceo(raytheon,williamhswanson).
companyceo(tycohealthcare,denniskozlowski).
companyceo(ebay,pierremoradomidyar).
companyceo(dow,andrewliveris).
companyceo(toshiba,atsutoshinishida).
companyceo(tjxcompanies,carolmeyrowitz).
companyceo(sonycorp,stringer).
companyceo(hsbc,michaelgeoghegan).
companyceo(wholefoodsmarket,johnmackey).
companyceo(tataconsultancy,nchandrasekaran).
companyceo(realnetworks,robglaser).
companyceo(accenture,williamgreen).
companyceo(cerner,nealpatterson).
companyceo(dukeenergycorporation,jimrogers).
companyceo(searle,donaldrumsfeld).
companyceo(supervaluinc,jeffnoddle).
companyceo(owenscorning,davidbrown).
companyceo(ge,jackwelch).
companyceo(hp,leoapotheker).
companyceo(bp,tonyhayward).
companyceo(ca,sanjaykumar).
companyceo(intel,craigbarrett).
companyceo(monsanto,hughgrant).
companyceo(occidentalpetroleum,rayirani).
