proteinclass(proteinyar018c,pcid161041051).
proteinclass(proteinybl066c,pcid201021031).
proteinclass(proteinybr059c,pcid161041041).
proteinclass(proteinybr127c,pcid41031).
proteinclass(proteinybr164c,pcid61021011).
proteinclass(proteinybr274w,pcid161051011).
proteinclass(proteinybr278w,pcid141011021).
proteinclass(proteinycr065w,pcid201031021).
proteinclass(proteinydl102w,pcid141011011).
proteinclass(proteinydl194w,pcid121).
proteinclass(proteinydr135c,pcid41021).
proteinclass(proteinydr146c,pcid201021021).
proteinclass(proteinydr207c,pcid201021031).
proteinclass(proteinydr208w,pcid171011).
proteinclass(proteinydr270w,pcid41031).
proteinclass(proteinydr404c,pcid141021).
proteinclass(proteinydr440w,pcid41061).
proteinclass(proteinyer022w,pcid141021).
proteinclass(proteinyer025w,pcid61031).
proteinclass(proteinyer028c,pcid201021021).
proteinclass(proteinyer111c,pcid201099).
proteinclass(proteinyer122c,pcid201021099).
proteinclass(proteinyer161c,pcid201041061).
proteinclass(proteinyfl039c,pcid11).
proteinclass(proteinyfl055w,pcid121).
proteinclass(proteinyfr019w,pcid171011).
proteinclass(proteinygl005c,pcid131021).
proteinclass(proteinygl070c,pcid141021).
proteinclass(proteinygl096w,pcid201031011).
proteinclass(proteinygl151w,pcid201099).
proteinclass(proteinygl163c,pcid41041).
proteinclass(proteinygl237c,pcid201011061).
proteinclass(proteinygr048w,pcid191099).
proteinclass(proteinygr188c,pcid161051021).
proteinclass(proteinygr195w,pcid135021011).
proteinclass(proteinyhr022c,pcid61021041).
proteinclass(proteinyhr026w,pcid41031).
proteinclass(proteinyhr069c,pcid135021011).
proteinclass(proteinyhr178w,pcid201021031).
proteinclass(proteinyil048w,pcid41031).
proteinclass(proteinyjl110c,pcid201021011).
proteinclass(proteinyjl140w,pcid141021).
proteinclass(proteinyjr032w,pcid146011).
proteinclass(proteinyjr043c,pcid141011021).
proteinclass(proteinyjr060w,pcid201011021).
proteinclass(proteinyjr117w,pcid151).
proteinclass(proteinykl171w,pcid161051021).
proteinclass(proteinykl190w,pcid181021041).
proteinclass(proteinykl197c,pcid41011041).
proteinclass(proteinykl203c,pcid171011).
proteinclass(proteinykl209c,pcid41021).
proteinclass(proteinykr104w,pcid41021).
proteinclass(proteinyll015w,pcid41021).
proteinclass(proteinyll039c,pcid191011).
proteinclass(proteinylr113w,pcid161031021).
proteinclass(proteinylr120c,pcid151).
proteinclass(proteinylr210w,pcid51021).
proteinclass(proteinylr216c,pcid146011).
proteinclass(proteinylr262c,pcid61021021).
proteinclass(proteinylr295c,pcid41031).
proteinclass(proteinylr447c,pcid41031).
proteinclass(proteinyml064c,pcid61021099).
proteinclass(proteinyml121w,pcid61021099).
proteinclass(proteinyml124c,pcid211).
proteinclass(proteinyml124c,pcid61099).
proteinclass(proteinymr019w,pcid201021031).
proteinclass(proteinymr173w,pcid101099).
proteinclass(proteinymr173w,pcid41061).
proteinclass(proteinynl227c,pcid101061).
proteinclass(proteinynl227c,pcid201021021).
proteinclass(proteinynl329c,pcid41011041).
proteinclass(proteinyol012c,pcid112021).
proteinclass(proteinyol021c,pcid135021011).
proteinclass(proteinyor039w,pcid161041021).
proteinclass(proteinyor070c,pcid81021).
proteinclass(proteinyor219c,pcid151).
proteinclass(proteinyor374w,pcid55011).
proteinclass(proteinypl036w,pcid41031).
proteinclass(proteinypl042c,pcid161031011).
proteinclass(proteinypl051w,pcid61021011).
proteinclass(proteinypl115c,pcid81051).
proteinclass(proteinypr017c,pcid71021).
proteinclass(proteinypr036w,pcid41031).
proteinclass(proteinypr119w,pcid51021).
proteinclass(proteinypr120c,pcid51021).
proteinclass(proteinypr135w,pcid141011021).
proteinclass(proteinypr141c,pcid131021).
