proteinclass(proteinyal024c,pcid71099).
proteinclass(proteinyal026c,pcid41031).
proteinclass(proteinyal041w,pcid71051).
proteinclass(proteinybl063w,pcid131021).
proteinclass(proteinybl079w,pcid121).
proteinclass(proteinybr006w,pcid55011).
proteinclass(proteinybr193c,pcid201099).
proteinclass(proteinycr008w,pcid161041061).
proteinclass(proteinycr038c,pcid71041).
proteinclass(proteinydl005c,pcid201099).
proteinclass(proteinydl006w,pcid181011021).
proteinclass(proteinydl028c,pcid161051011).
proteinclass(proteinydl047w,pcid181011011).
proteinclass(proteinydl127w,pcid51031).
proteinclass(proteinydr040c,pcid41031).
proteinclass(proteinydr091c,pcid41021).
proteinclass(proteinydr308c,pcid141021).
proteinclass(proteinydr423c,pcid201011011011).
proteinclass(proteinydr424c,pcid131011011).
proteinclass(proteinydr490c,pcid161011061).
proteinclass(proteinyel061c,pcid131021).
proteinclass(proteinyer031c,pcid61021021).
proteinclass(proteinyer119c,pcid121).
proteinclass(proteinyer133w,pcid181011011).
proteinclass(proteinyer136w,pcid91021).
proteinclass(proteinyer155c,pcid81051).
proteinclass(proteinyer177w,pcid101081).
proteinclass(proteinyfl005w,pcid61021021).
proteinclass(proteinyfl008w,pcid41061).
proteinclass(proteinyfl037w,pcid211).
proteinclass(proteinyfl037w,pcid61099).
proteinclass(proteinyfr040w,pcid181021031).
proteinclass(proteinygl019w,pcid161041021).
proteinclass(proteinygl215w,pcid51031).
proteinclass(proteinygl216w,pcid131021).
proteinclass(proteinygl229c,pcid181021031).
proteinclass(proteinygr020c,pcid41031).
proteinclass(proteinygr080w,pcid161061).
proteinclass(proteinygr092w,pcid161011051).
proteinclass(proteinygr104c,pcid141021).
proteinclass(proteinygr133w,pcid191031).
proteinclass(proteinygr152c,pcid61021041).
proteinclass(proteinyhl007c,pcid161041121).
proteinclass(proteinyhl009c,pcid201011011011).
proteinclass(proteinyhr023w,pcid131031021).
proteinclass(proteinyhr030c,pcid161031021).
proteinclass(proteinyhr039c,pcid55011).
proteinclass(proteinyhr041c,pcid141021).
proteinclass(proteinyhr168w,pcid61099).
proteinclass(proteinyil021w,pcid141021).
proteinclass(proteinyil118w,pcid61021051).
proteinclass(proteinyjl074c,pcid41061).
proteinclass(proteinyjl095w,pcid161041111).
proteinclass(proteinyjl098w,pcid181021031).
proteinclass(proteinyjl187c,pcid161051011).
proteinclass(proteinykl032c,pcid201041061).
proteinclass(proteinykl048c,pcid161041031).
proteinclass(proteinykl079w,pcid131021).
proteinclass(proteinykl080w,pcid41031).
proteinclass(proteinykl101w,pcid161021031).
proteinclass(proteinykl146w,pcid121).
proteinclass(proteinykl221w,pcid121).
proteinclass(proteinykl222c,pcid201021031).
proteinclass(proteinykr028w,pcid181021031).
proteinclass(proteinykr054c,pcid131011021).
proteinclass(proteinykr055w,pcid61021051).
proteinclass(proteinylr090w,pcid101061).
proteinclass(proteinylr229c,pcid61021051).
proteinclass(proteinylr249w,pcid41061).
proteinclass(proteinylr305c,pcid171011).
proteinclass(proteinylr371w,pcid71051).
proteinclass(proteinylr397c,pcid41011051).
proteinclass(proteinyml001w,pcid61021021).
proteinclass(proteinyml007w,pcid201011011011).
proteinclass(proteinyml085c,pcid211).
proteinclass(proteinyml085c,pcid61099).
proteinclass(proteinymr028w,pcid181021021).
proteinclass(proteinymr028w,pcid181021031).
proteinclass(proteinymr138w,pcid61021011).
proteinclass(proteinymr152w,pcid151).
proteinclass(proteinymr294w,pcid131011031).
proteinclass(proteinynl027w,pcid201021021).
proteinclass(proteinynl064c,pcid101061).
proteinclass(proteinynl113w,pcid141021).
proteinclass(proteinynl204c,pcid201021099).
proteinclass(proteinynl298w,pcid161041121).
proteinclass(proteinyol135c,pcid141021).
proteinclass(proteinyor014w,pcid181021021).
proteinclass(proteinyor020c,pcid101011021).
proteinclass(proteinyor089c,pcid61021021).
proteinclass(proteinyor157c,pcid151).
proteinclass(proteinyor174w,pcid201099).
proteinclass(proteinyor212w,pcid61011021).
proteinclass(proteinyor290c,pcid41041).
proteinclass(proteinyor326w,pcid131031031).
proteinclass(proteinyor344c,pcid201011021).
proteinclass(proteinypl031c,pcid161031011).
proteinclass(proteinypl086c,pcid115011).
proteinclass(proteinypl086c,pcid141021).
proteinclass(proteinypl089c,pcid201041031).
proteinclass(proteinypl152w,pcid181021021).
proteinclass(proteinypl155c,pcid131021).
proteinclass(proteinypl209c,pcid161051011).
proteinclass(proteinypr111w,pcid161011051).
