proteinclass(proteinybl016w,pcid161031021).
proteinclass(proteinybl093c,pcid201099).
proteinclass(proteinybr043c,pcid121).
proteinclass(proteinybr045c,pcid181021011).
proteinclass(proteinybr080c,pcid41011031).
proteinclass(proteinybr172c,pcid131021).
proteinclass(proteinycl057w,pcid151).
proteinclass(proteinycl069w,pcid121).
proteinclass(proteinycr039c,pcid201031011).
proteinclass(proteinydl064w,pcid191031).
proteinclass(proteinydl159w,pcid161041101).
proteinclass(proteinydr156w,pcid141021).
proteinclass(proteinydr477w,pcid161021021).
proteinclass(proteinyer045c,pcid201011011011).
proteinclass(proteinyer054c,pcid181021011).
proteinclass(proteinyer123w,pcid161041011).
proteinclass(proteinyer144c,pcid151).
proteinclass(proteinyer144c,pcid191051).
proteinclass(proteinyfr014c,pcid161021011).
proteinclass(proteinygl035c,pcid201021021).
proteinclass(proteinygl058w,pcid191031).
proteinclass(proteinygl097w,pcid71031).
proteinclass(proteinygl179c,pcid161041031).
proteinclass(proteinygr121c,pcid121).
proteinclass(proteinygr191w,pcid121).
proteinclass(proteinyhr005c,pcid61011011).
proteinclass(proteinyhr102w,pcid161041071).
proteinclass(proteinyhr135c,pcid161041011).
proteinclass(proteinyhr164c,pcid41041).
proteinclass(proteinyil013c,pcid121).
proteinclass(proteinyil013c,pcid41021).
proteinclass(proteinyil050w,pcid51031).
proteinclass(proteinyil063c,pcid81031).
proteinclass(proteinyil156w,pcid191051).
proteinclass(proteinyir017c,pcid201011011).
proteinclass(proteinyjl008c,pcid101011031).
proteinclass(proteinyjl008c,pcid41061).
proteinclass(proteinyjl089w,pcid201021031).
proteinclass(proteinyjl128c,pcid161041101).
proteinclass(proteinyjr063w,pcid141021).
proteinclass(proteinyjr086w,pcid61011031).
proteinclass(proteinykl129c,pcid131031011).
proteinclass(proteinykl135c,pcid31021).
proteinclass(proteinykl144c,pcid141021).
proteinclass(proteinykl188c,pcid41021).
proteinclass(proteinylr212c,pcid211).
proteinclass(proteinylr293c,pcid61021031).
proteinclass(proteinylr362w,pcid161041111).
proteinclass(proteinylr433c,pcid181011011).
proteinclass(proteinylr451w,pcid201021031).
proteinclass(proteinyml057w,pcid181011011).
proteinclass(proteinymr035w,pcid151).
proteinclass(proteinymr088c,pcid121).
proteinclass(proteinymr089c,pcid151).
proteinclass(proteinymr089c,pcid41011021).
proteinclass(proteinymr109w,pcid131031011).
proteinclass(proteinymr123w,pcid121).
proteinclass(proteinymr182c,pcid201021021).
proteinclass(proteinymr186w,pcid101031).
proteinclass(proteinymr186w,pcid41061).
proteinclass(proteinymr235c,pcid81031).
proteinclass(proteinynl102w,pcid141011021).
proteinclass(proteinynl103w,pcid201011011).
proteinclass(proteinynl154c,pcid161041011).
proteinclass(proteinynl262w,pcid141011011).
proteinclass(proteinynr003c,pcid141021).
proteinclass(proteinynr028w,pcid146011).
proteinclass(proteinynr032w,pcid181011011).
proteinclass(proteinyol016c,pcid161021011).
proteinclass(proteinyol020w,pcid121).
proteinclass(proteinyol023w,pcid61031).
proteinclass(proteinyol108c,pcid201011021).
proteinclass(proteinyol156w,pcid121).
proteinclass(proteinyor101w,pcid61021041).
proteinclass(proteinyor117w,pcid41011011).
proteinclass(proteinyor134w,pcid81099).
proteinclass(proteinyor151c,pcid141021).
proteinclass(proteinyor185c,pcid61021031).
proteinclass(proteinyor259c,pcid41011011).
proteinclass(proteinyor272w,pcid61011021).
proteinclass(proteinypl020c,pcid151).
proteinclass(proteinypl082c,pcid41041).
proteinclass(proteinypl093w,pcid61099).
proteinclass(proteinypl133c,pcid201021031).
proteinclass(proteinypl147w,pcid41021).
proteinclass(proteinypl153c,pcid161051011).
proteinclass(proteinypl204w,pcid161041011).
proteinclass(proteinypr008w,pcid201099).
proteinclass(proteinypr010c,pcid141021).
proteinclass(proteinypr029c,pcid31031).
proteinclass(proteinypr104c,pcid201031021).
proteinclass(proteinypr110c,pcid141021).
