candidates,similarity
"athleteplaysforteam(athlete,sportsteam),companyalsoknownas(company,company)",4.224997043609619
"athleteplaysforteam(athlete,sportsteam),cityhascompanyoffice(city,company)",4.657741546630859
"athleteplaysforteam(athlete,sportsteam),countryhascompanyoffice(country,company)",4.677220344543457
"athleteplaysforteam(athlete,sportsteam),bankbankincountry(person,country)",4.781891822814941
"athleteplaysforteam(athlete,sportsteam),acquired(company,company)",4.9379072189331055
"athleteplaysforteam(athlete,sportsteam),companyceo(company,person)",5.018258571624756
"athleteplaysforteam(athlete,sportsteam),bankboughtbank(company,company)",5.208765506744385
"athleteplaysforteam(athlete,sportsteam),economicsectorcompany(`sector,company)",5.243659019470215
"athleteplaysforteam(athlete,sportsteam),economicsectorcompany(sector,`company)",5.243659019470215
"athleteplaysforteam(athlete,sportsteam),bankchiefexecutiveceo(company,person)",5.252596378326416
