candidates,similarity
"athleteplaysinleague(athlete,sportsleague),companyalsoknownas(company,company)",4.912872314453125
"athleteplaysinleague(athlete,sportsleague),cityhascompanyoffice(city,company)",5.324533939361572
"athleteplaysinleague(athlete,sportsleague),countryhascompanyoffice(country,company)",5.346288681030273
"athleteplaysinleague(athlete,sportsleague),acquired(company,company)",5.359370708465576
"athleteplaysinleague(athlete,sportsleague),companyceo(company,person)",5.474256992340088
"athleteplaysinleague(athlete,sportsleague),bankboughtbank(company,company)",5.533145904541016
"athleteplaysinleague(athlete,sportsleague),bankbankincountry(person,country)",5.566043853759766
"athleteplaysinleague(athlete,sportsleague),economicsectorcompany(`sector,company)",5.601840019226074
"athleteplaysinleague(athlete,sportsleague),economicsectorcompany(sector,`company)",5.601840019226074
"athleteplaysinleague(athlete,sportsleague),bankchiefexecutiveceo(company,person)",5.66420841217041
