,similarity
"actor,professor",0.2056897133588791
"actor,student",0.18718014657497406
"actor,advisedby",0.0054441350512206554
"actor,tempadvisedby",0.06408453732728958
"actor,ta",0.038958948105573654
"actor,hasposition",0.05525580793619156
"actor,publication",0.011858953163027763
"actor,inphase",-0.0072434754110872746
"actor,courselevel",0.03302917256951332
"actor,yearsinprogram",0.04594505950808525
"actor,projectmember",0.0899963453412056
"actor,sameproject",0.09362660348415375
"actor,samecourse",0.07878681272268295
"actor,sameperson",0.18301314115524292
"movie,professor",0.06739531457424164
"movie,student",0.13069240748882294
"movie,advisedby",0.0020790386479347944
"movie,tempadvisedby",0.0599307119846344
"movie,ta",0.0624016672372818
"movie,hasposition",-0.0213177427649498
"movie,publication",0.07135974615812302
"movie,inphase",0.04446142911911011
"movie,courselevel",0.07113776355981827
"movie,yearsinprogram",0.05122867226600647
"movie,projectmember",0.0650831013917923
"movie,sameproject",0.13283705711364746
"movie,samecourse",0.11826948076486588
"movie,sameperson",0.16379986703395844
"director,professor",0.4893808364868164
"director,student",0.1374814510345459
"director,advisedby",0.026067577302455902
"director,tempadvisedby",0.0419180765748024
"director,ta",0.010657737031579018
"director,hasposition",0.09711642563343048
"director,publication",0.07597881555557251
"director,inphase",0.0008803988457657397
"director,courselevel",0.00583647470921278
"director,yearsinprogram",0.042394500225782394
"director,projectmember",0.2606121003627777
"director,sameproject",0.0541158989071846
"director,samecourse",-0.04381095618009567
"director,sameperson",0.008157189935445786
"workedunder,professor",0.06468618661165237
"workedunder,student",0.019688976928591728
"workedunder,advisedby",0.19640196859836578
"workedunder,tempadvisedby",0.1191634014248848
"workedunder,ta",0.011875364929437637
"workedunder,hasposition",0.14386086165905
"workedunder,publication",0.029325416311621666
"workedunder,inphase",0.1127876490354538
"workedunder,courselevel",0.11678986251354218
"workedunder,yearsinprogram",0.1513637900352478
"workedunder,projectmember",0.06590244919061661
"workedunder,sameproject",0.06524545699357986
"workedunder,samecourse",0.16763803362846375
"workedunder,sameperson",0.07847248762845993
